season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press
2022,1631096,Chet,Holmgren,Chet Holmgren,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2022,1631097,Bennedict,Mathurin,Bennedict Mathurin,SG,76.5,78.0,204.6,81.0,104.0,5.7,8.5,9.75,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2022,1631098,Johnny,Davis,Johnny Davis,PG,76.25,77.75,196.4,80.5,103.5,6.7,8.5,10.25,29.5,36.0,11.004999999999999,3.0599999999999996,3.21,8.0
2022,1630590,Scotty,Pippen Jr.,Scotty Pippen Jr.,PG,72.0,73.5,180.0,77.75,95.5,5.3,7.75,9.0,30.5,37.5,11.07,3.1,3.21,8.0
2022,1630577,Julian,Champagnie,Julian Champagnie,SF,78.25,79.75,212.4,82.0,107.0,7.1,8.75,9.25,28.5,34.5,11.39,3.04,3.14,10.0
2022,1630571,Matthew,Mayer,Matthew Mayer,SF,80.0,81.25,216.4,82.5,105.0,11.1,9.0,10.25,25.5,31.5,10.74,3.125,3.39,10.0
2022,1631107,Nikola,Jovic,Nikola Jovic,SF,81.5,83.0,222.6,84.25,108.5,7.4,8.75,9.75,29.5,35.0,11.36,3.125,3.285,10.0
2022,1631114,Jalen,Williams,Jalen Williams,SG,76.5,77.75,209.2,86.25,105.5,8.9,8.5,9.5,33.5,39.0,11.13,3.17,3.11,10.0
2022,1631113,Kennedy,Chandler,Kennedy Chandler,PG,71.5,72.5,172.2,77.25,97.0,4.4,8.5,9.5,31.0,41.5,10.73,2.89,3.21,8.0
2022,1631112,Kendall,Brown,Kendall Brown,SF,78.25,79.5,201.2,83.0,103.0,4.9,9.0,9.0,31.5,41.0,11.57,3.05,3.29,10.0
2022,1631106,Tari,Eason,Tari Eason,PF,78.75,80.0,217.4,86.0,107.5,5.9,9.25,11.0,28.5,34.0,11.47,3.14,3.29,12.0
2022,1631105,Jalen,Duren,Jalen Duren,C,82.25,83.75,248.8,87.75,110.5,8.0,9.25,10.0,27.0,30.5,12.03,3.26,3.42,11.0
2022,1631104,Blake,Wesley,Blake Wesley,SG,75.0,76.25,187.2,81.25,103.0,5.6,8.25,9.0,30.0,36.0,11.55,3.25,3.21,10.0
2022,1631103,Malaki,Branham,Malaki Branham,SG,76.0,77.5,194.8,82.0,102.5,6.1,8.5,9.75,29.0,35.0,11.38,3.09,3.17,10.0
2022,1630620,Darius,Days,Darius Days,SF-PF,79.0,80.125,222.0,83.875,105.5,6.65,8.75,9.375,29.5,33.5,11.355,2.8449999999999998,3.315,10.0
